--- ripple_adder ---
VCD info: dumpfile build/adder.vcd opened for output.
FAIL: 7 + 4 + 1 -> got 10, want 12
FAIL: 7 + 5 + 0 -> got 8, want 12
FAIL: 7 + 5 + 1 -> got 9, want 13
FAIL: 7 + 6 + 1 -> got 12, want 14
FAIL: 7 + 8 + 1 -> got 14, want 16
FAIL: 7 + 9 + 0 -> got 12, want 16
FAIL: 7 + 9 + 1 -> got 13, want 17
FAIL: 7 + 10 + 0 -> got 9, want 17
FAIL: 7 + 10 + 1 -> got 8, want 18
FAIL: 7 + 11 + 0 -> got 10, want 18
FAIL: 7 + 11 + 1 -> got 11, want 19
FAIL: 7 + 12 + 0 -> got 3, want 19
FAIL: 7 + 12 + 1 -> got 2, want 20
FAIL: 7 + 13 + 0 -> got 0, want 20
FAIL: 7 + 13 + 1 -> got 1, want 21
FAIL: 7 + 14 + 0 -> got 5, want 21
FAIL: 7 + 14 + 1 -> got 4, want 22
FAIL: 7 + 15 + 0 -> got 6, want 22
FAIL: 7 + 15 + 1 -> got 7, want 23
FAIL: 8 + 1 + 1 -> got 8, want 10
FAIL: 8 + 3 + 1 -> got 10, want 12
FAIL: 8 + 5 + 1 -> got 12, want 14
FAIL: 8 + 7 + 1 -> got 14, want 16
FAIL: 8 + 9 + 1 -> got 16, want 18
FAIL: 8 + 11 + 1 -> got 18, want 20
FAIL: 8 + 13 + 1 -> got 20, want 22
FAIL: 8 + 15 + 1 -> got 22, want 24
FAIL: 9 + 0 + 1 -> got 8, want 10
FAIL: 9 + 2 + 1 -> got 10, want 12
FAIL: 9 + 3 + 0 -> got 8, want 12
FAIL: 9 + 3 + 1 -> got 9, want 13
FAIL: 9 + 4 + 1 -> got 12, want 14
FAIL: 9 + 6 + 1 -> got 14, want 16
FAIL: 9 + 7 + 0 -> got 12, want 16
FAIL: 9 + 7 + 1 -> got 13, want 17
FAIL: 9 + 8 + 1 -> got 16, want 18
FAIL: 9 + 10 + 1 -> got 18, want 20
FAIL: 9 + 11 + 0 -> got 16, want 20
FAIL: 9 + 11 + 1 -> got 17, want 21
FAIL: 9 + 12 + 1 -> got 20, want 22
FAIL: 9 + 14 + 1 -> got 22, want 24
FAIL: 9 + 15 + 0 -> got 20, want 24
FAIL: 9 + 15 + 1 -> got 21, want 25
FAIL: 10 + 1 + 1 -> got 10, want 12
FAIL: 10 + 3 + 1 -> got 12, want 14
FAIL: 10 + 5 + 1 -> got 14, want 16
FAIL: 10 + 6 + 0 -> got 8, want 16
FAIL: 10 + 6 + 1 -> got 9, want 17
FAIL: 10 + 7 + 0 -> got 9, want 17
FAIL: 10 + 7 + 1 -> got 8, want 18
FAIL: 10 + 9 + 1 -> got 18, want 20
FAIL: 10 + 11 + 1 -> got 20, want 22
FAIL: 10 + 13 + 1 -> got 22, want 24
FAIL: 10 + 14 + 0 -> got 16, want 24
FAIL: 10 + 14 + 1 -> got 17, want 25
FAIL: 10 + 15 + 0 -> got 17, want 25
FAIL: 10 + 15 + 1 -> got 16, want 26
FAIL: 11 + 0 + 1 -> got 10, want 12
FAIL: 11 + 1 + 0 -> got 8, want 12
FAIL: 11 + 1 + 1 -> got 9, want 13
FAIL: 11 + 2 + 1 -> got 12, want 14
FAIL: 11 + 4 + 1 -> got 14, want 16
FAIL: 11 + 5 + 0 -> got 12, want 16
FAIL: 11 + 5 + 1 -> got 13, want 17
FAIL: 11 + 6 + 0 -> got 9, want 17
FAIL: 11 + 6 + 1 -> got 8, want 18
